sa3_name, sa3_code, perc, rpt_yrs
"Brunswick - Coburg","20601",53.2,"2014-2016"
"Darebin - South","20602",56.3,"2014-2016"
"Essendon","20603",58.3,"2014-2016"
"Melbourne City","20604",54.7,"2014-2016"
"Port Phillip","20605",62.9,"2014-2016"
"Darebin - North","20902",38.0,"2014-2016"
"Nillumbik - Kinglake","20903",53.1,"2014-2016"
"Whittlesea - Wallan","20904",44.6,"2014-2016"
"Keilor","21001",61.9,"2014-2016"
"Hobsons Bay","21302",55.2,"2014-2016"
"Maribyrnong","21303",50.4,"2014-2016"
"Melton - Bacchus Marsh","21304",44.8,"2014-2016"
"Wyndham","21305",50.0,"2014-2016"
"Frankston","21401",38.4,"2014-2016"
"Mornington Peninsula","21402",44.5,"2014-2016"
"Stonnington - East","20804",78.9,"2014-2016"
"Macedon Ranges","21002",56.0,"2014-2016"
"Moreland - North","21003",42.2,"2014-2016"
"Sunbury","21004",49.2,"2014-2016"
"Tullamarine - Broadmeadows","21005",40.0,"2014-2016"
"Knox","21101",73.0,"2014-2016"
"Manningham - East","21102",66.0,"2014-2016"
"Maroondah","21103",66.5,"2014-2016"
"Whitehorse - East","21104",67.7,"2014-2016"
"Yarra Ranges","21105",70.6,"2014-2016"
"Cardinia","21201",59.9,"2014-2016"
"Casey - North","21202",57.6,"2014-2016"
"Casey - South","21203",49.2,"2014-2016"
"Stonnington - West","20606",68.0,"2014-2016"
"Yarra","20607",58.4,"2014-2016"
"Boroondara","20701",72.7,"2014-2016"
"Manningham - West","20702",63.4,"2014-2016"
"Whitehorse - West","20703",68.4,"2014-2016"
"Bayside","20801",61.3,"2014-2016"
"Banyule","20901",48.3,"2014-2016"
"Dandenong","21204",52.0,"2014-2016"
"Monash","21205",68.6,"2014-2016"
"Brimbank","21301",34.4,"2014-2016"
"Glen Eira","20802",67.8,"2014-2016"
"Kingston","20803",47.9,"2014-2016"
