air_point_eet, state, facility_id, jurisdiction_code, jurisdiction_facility_id, facility_name, suburb, oid, air_total_emission_kg, longitude, air_fugitive_eet, air_fugitive_emission_kg, air_point_emission_kg, water_emission_kg, substance_name, substance_id, postcode, land_emission_kg, primary_anzsic_class_code, land_eet, water_eet, report_year, primary_anzsic_class_name, report_id, latitude, registered_business_name, substance_sort_order
"___4_","VIC","597036","VIC","00030564","Alfred Hospital","Prahran",1261,57.919,144.982316,"___4_",5.009,52.91,null,"Total Volatile Organic Compounds","85","3181",null,"8401",null,null,"2016/2017","Hospitals (Except Psychiatric Hospitals)","491564",-37.845331,"ALFRED HEALTH                                                                                                                                                                                                                                             ","88"
"___4_","VIC","529906","VIC","00004779","Footscray","Footscray",1517,82.73910797,144.899557,null,null,82.73910797,null,"Total Volatile Organic Compounds","85","3011",null,"9531",null,null,"2016/2017","Laundry and Dry-Cleaning Services","496880",-37.814087,"ALSCO PTY LIMITED                                                                                                                                                                                                                                         ","88"
"12_4_","VIC","525452","VIC","00004134","Amcor Flexibles Asia Pacific - Port Melbourne","Port Melbourne",1561,60207.0,144.915032,"___4_",23.0,60184.0,null,"Total Volatile Organic Compounds","85","3207",null,"1611",null,null,"2016/2017","Printing","494698",-37.837341,"AMCOR FLEXIBLES (AUSTRALIA) PTY LTD                                                                                                                                                                                                                       ","88"
"1__4_","VIC","530940","VIC","00006133","BOEING AEROSTRUCTURES AUSTRALIA PTY LIMITED","Port Melbourne",5808,44736.0,144.902516,null,null,44736.0,null,"Total Volatile Organic Compounds","85","3207",null,"2394",null,null,"2016/2017","Aircraft Manufacturing and Repair Services","491864",-37.829911,"BOEING AEROSTRUCTURES AUSTRALIA PTY LIMITED                                                                                                                                                                                                               ","88"
"___4_","VIC","629970","VIC","00030643","Citywide North Melbourne Asphalt plant","North Melbourne",10566,1036.8955,144.9391,"___4_",57.6955,979.2,null,"Total Volatile Organic Compounds","85","3051",null,"1709",null,null,"2016/2017","Other Petroleum and Coal Product Manufacturing","493924",-37.79928,"CITYWIDE NORTH MELBOURNE ASPHALT PTY LTD                                                                                                                                                                                                                  ","88"
"1__4_","VIC","529242","VIC","00004716","Seqirus (Parkville)","Parkville",11828,401.357127837,144.947092,"___4_",1.737579937,399.6195479,null,"Total Volatile Organic Compounds","85","3052",null,"1841",null,null,"2016/2017","Human Pharmaceutical and Medicinal Product Manufacturing","491598",-37.779327,"CSL LIMITED                                                                                                                                                                                                                                               ","88"
"___4_","VIC","533684","VIC","00015650","CSR Gyprock-Yarraville","Yarraville",11928,3561.501321,144.901738,"___4_",1088.356105,2473.145216,null,"Total Volatile Organic Compounds","85","3013",null,"2032",null,null,"2016/2017","Plaster Product Manufacturing","495010",-37.817277,"CSR BUILDING PRODUCTS LIMITED                                                                                                                                                                                                                             ","88"
null,"VIC","532570","VIC","00007121","West Swanson Terminal","West Melbourne",13234,9224.4,144.911025,"___4_",9224.4,null,null,"Total Volatile Organic Compounds","85","3003",null,"5211",null,null,"2016/2017","Stevedoring Services","494826",-37.810235,"DP WORLD MELBOURNE LIMITED                                                                                                                                                                                                                                ","88"
"___4_","VIC","531134","VIC","00006776","Spotless Linen Services","Abbotsford",15109,398.518,144.98802,"___4_",195.42,203.098,null,"Total Volatile Organic Compounds","85","3067",null,"9531",null,null,"2016/2017","Laundry and Dry-Cleaning Services","491824",-37.806525,"ENSIGN SERVICES (AUST) PTY LTD                                                                                                                                                                                                                            ","88"
"___4_","VIC","525244","VIC","00004108","Holden - Fishermans Bend","Port Melbourne",17205,692.0,144.918165,"1__4_",570.3,121.7,null,"Total Volatile Organic Compounds","85","3207",null,"2319",null,null,"2016/2017","Other Motor Vehicle Parts Manufacturing","492336",-37.822933,"GM HOLDEN LTD                                                                                                                                                                                                                                             ","88"
"___4_","VIC","558776","VIC","00029273","Marathon Food Industries Pty Ltd","Kensington",24491,72.47122516,144.917046,null,null,72.47122516,null,"Total Volatile Organic Compounds","85","3031",null,"1199",null,null,"2016/2017","Other Food Product Manufacturing n.e.c.","495570",-37.797478,"MARATHON FOOD INDUSTRIES PROPRIETARY LIMITED                                                                                                                                                                                                              ","88"
"_2___","VIC","528768","VIC","00004651","Mobil Yarraville Terminal","Yarraville",25847,148320.0,144.899288,"_2___",45414.0,102906.0,null,"Total Volatile Organic Compounds","85","3013",null,"3321",null,null,"2016/2017","Petroleum Product Wholesaling","488910",-37.823543,"MOBIL OIL AUSTRALIA PTY LTD                                                                                                                                                                                                                               ","88"
"___4_","VIC","530546","VIC","00004842","Port Melbourne Site","Port Melbourne",26045,404.0,144.924195,"___4_",72.0,332.0,null,"Total Volatile Organic Compounds","85","3207",null,"1199",null,null,"2016/2017","Other Food Product Manufacturing n.e.c.","496500",-37.826687,"MONDELEZ AUSTRALIA PTY LTD                                                                                                                                                                                                                                ","88"
