property_id, seating_type, industry_anzsic4_code, location_zip, clue_small_area, trading_name, x_coordinate, location_address, location_city, location_state, number_of_seats, ogc_fid, industry_anzsic4_description, y_coordinate, census_year, street_address, base_property_id, block_id
"111175","Seats - Outdoor","4511",null,"Southbank","Cafe Baci's","144.9586604",null,null,null,"20",8,"Cafes and Restaurants","-37.82312164","2010","8 Whiteman Street","110477","803"
"110607","Seats - Outdoor","4511",null,"Southbank","Jarrah Restaurant & Bar","144.9671147",null,null,null,"60",26,"Cafes and Restaurants","-37.82038777","2010","24-26 Southgate Avenue","110607","753"
"105936","Seats - Outdoor","4511",null,"Melbourne (CBD)","Dikstein's Corner Bar","144.9603413",null,null,null,"20",37,"Cafes and Restaurants","-37.81631094","2010","433 Little Collins Street","105936","33"
"108968","Seats - Indoor","4512",null,"Melbourne (CBD)","Atami Sushi & Catering","144.9543659",null,null,null,"6",60,"Takeaway Food Services","-37.81818484","2010","613-639 Little Collins Street","108968","31"
"101101","Seats - Indoor","9113",null,"Melbourne (Remainder)","Riverslide Skate Park","144.9721254",null,null,null,"6",74,"Sports and Physical Recreation Venues, Grounds and Facilities Operation","-37.82065979","2010"," St Kilda Road","101101","850"
"101200","Seats - Indoor","4511",null,"Melbourne (CBD)","Spicy Fish Restaurant","144.9662952",null,null,null,"80",94,"Cafes and Restaurants","-37.81272047","2010","222-244 Bourke Street","101200","56"
"101110","Seats - Indoor","4511",null,"Melbourne (CBD)","Shuji Sushi","144.9719053",null,null,null,"80",106,"Cafes and Restaurants","-37.8119837","2010","45-49 Bourke Street","101110","48"
"105447","Seats - Outdoor","4511",null,"Melbourne (CBD)","Breeze Cafe","144.9608289",null,null,null,"8",108,"Cafes and Restaurants","-37.81074698","2010","285-287 La Trobe Street","105447","84"
"105678","Seats - Outdoor","4511",null,"Melbourne (CBD)","Cafe 123","144.9686769",null,null,null,"4",140,"Cafes and Restaurants","-37.81072687","2010","123-129 Lonsdale Street","105678","67"
"101142","Seats - Indoor","4512",null,"Melbourne (CBD)","Malaysian Oriental Wok","144.9645323",null,null,null,"10",156,"Takeaway Food Services","-37.81445406","2010","309-325 Bourke Street","101142","45"
